PB Role URI	PB RoleSet	PB Role	VerbNet Role URI for FRED	VN_Role	VN_Sense	VerbNet VerbSense URI for FRED
https://w3id.org/framester/pb/pbdata/justify.01__1	justify.01	ARG1	https://w3id.org/framester/vn/vn31/data/Topic.justify_37010100	Topic	Justify_37010100	https://w3id.org/framester/vn/vn31/data/Justify_37010100
https://w3id.org/framester/pb/pbdata/jut.01__1	jut.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.jut_47060000	Theme	Jut_47060000	https://w3id.org/framester/vn/vn31/data/Jut_47060000
https://w3id.org/framester/pb/pbdata/jut.01__2	jut.01	ARG2	https://w3id.org/framester/vn/vn31/data/Location.jut_47060000	Location	Jut_47060000	https://w3id.org/framester/vn/vn31/data/Jut_47060000
https://w3id.org/framester/pb/pbdata/keep.01__0	keep.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.keep_15020000	Agent	Keep_15020000	https://w3id.org/framester/vn/vn31/data/Keep_15020000
https://w3id.org/framester/pb/pbdata/keep.01__0	keep.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.keep_55060000	Agent	Keep_55060000	https://w3id.org/framester/vn/vn31/data/Keep_55060000
https://w3id.org/framester/pb/pbdata/keep.01__1	keep.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.keep_15020000	Theme	Keep_15020000	https://w3id.org/framester/vn/vn31/data/Keep_15020000
https://w3id.org/framester/pb/pbdata/keep.01__1	keep.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.keep_55060000	Theme	Keep_55060000	https://w3id.org/framester/vn/vn31/data/Keep_55060000
https://w3id.org/framester/pb/pbdata/keep.01__2	keep.01	ARG2	https://w3id.org/framester/vn/vn31/data/Instrument.keep_55060000	Instrument	Keep_55060000	https://w3id.org/framester/vn/vn31/data/Keep_55060000
https://w3id.org/framester/pb/pbdata/keep.02__0	keep.02	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.keep_55060000	Agent	Keep_55060000	https://w3id.org/framester/vn/vn31/data/Keep_55060000
https://w3id.org/framester/pb/pbdata/keep.02__0	keep.02	ARG0	https://w3id.org/framester/vn/vn31/data/Theme.keep_55060000	Theme	Keep_55060000	https://w3id.org/framester/vn/vn31/data/Keep_55060000
