pbrole	pbrolelabel	pbrolesup	varole
pbdata:stumble-01__0	pblocalrole:agent	pbschema:ARG0	va:Theme
pbdata:stumble-01__0	pblocalrole:agent	pbschema:ARG-PPT	va:Theme
pbdata:stumble-01__1	pblocalrole:stumble_over	pbschema:ARG1	va:Location
pbdata:stumble-01__1	pblocalrole:stumble_over	pbschema:ARG-LOC	va:Location
pbdata:stump-01__0	pblocalrole:cause	pbschema:ARG0	va:Agent
pbdata:stump-01__0	pblocalrole:cause	pbschema:ARG-PAG	va:Agent
pbdata:stump-01__1	pblocalrole:entity_stumped	pbschema:ARG1	va:Experiencer
pbdata:stump-01__1	pblocalrole:entity_stumped	pbschema:ARG-PPT	va:Experiencer
pbdata:stump-02__0	pblocalrole:stumper	pbschema:ARG0	
pbdata:stump-02__0	pblocalrole:stumper	pbschema:ARG-PAG	
pbdata:stump-02__1	pblocalrole:stumped_for	pbschema:ARG1	
pbdata:stump-02__1	pblocalrole:stumped_for	pbschema:ARG-PPT	
pbdata:stun-01__0	pblocalrole:surprise	pbschema:ARG0	va:Stimulus
pbdata:stun-01__0	pblocalrole:surprise	pbschema:ARG-PAG	va:Stimulus
pbdata:stun-01__1	pblocalrole:surprised	pbschema:ARG1	va:Experiencer
pbdata:stun-01__1	pblocalrole:surprised	pbschema:ARG-PPT	va:Experiencer
pbdata:stun-01__2	pblocalrole:source	pbschema:ARG2	va:Instrument
pbdata:stun-01__2	pblocalrole:source	pbschema:ARG-CAU	va:Instrument
pbdata:stunt-01__0	pblocalrole:preventer_of_growth	pbschema:ARG0	va:Agent
pbdata:stunt-01__0	pblocalrole:preventer_of_growth	pbschema:ARG-PAG	va:Agent
pbdata:stunt-01__1	pblocalrole:growth	pbschema:ARG1	va:Theme
pbdata:stunt-01__1	pblocalrole:growth	pbschema:ARG-PPT	va:Theme
pbdata:stunt-02__0	pblocalrole:actor	pbschema:ARG0	
pbdata:stunt-02__0	pblocalrole:actor	pbschema:ARG-PAG	
pbdata:stunt-02__1	pblocalrole:purpose	pbschema:ARG1	
pbdata:stunt-02__1	pblocalrole:purpose	pbschema:ARG-PRP	
pbdata:stunt-02__2	pblocalrole:beneficiary	pbschema:ARG2	
pbdata:stunt-02__2	pblocalrole:beneficiary	pbschema:ARG-GOL	
pbdata:stupefy-01__0	pblocalrole:causer_of_stupor	pbschema:ARG0	
pbdata:stupefy-01__0	pblocalrole:causer_of_stupor	pbschema:ARG-PAG	
pbdata:stupefy-01__1	pblocalrole:stupefied_entity	pbschema:ARG1	
pbdata:stupefy-01__1	pblocalrole:stupefied_entity	pbschema:ARG-PPT	
pbdata:stupefy-01__2	pblocalrole:instrument	pbschema:ARG2	
pbdata:stupefy-01__2	pblocalrole:instrument	pbschema:ARG-MNR	
pbdata:stupid-01__1	pblocalrole:thing_that_is_stupid	pbschema:ARG1	
pbdata:stupid-01__1	pblocalrole:thing_that_is_stupid	pbschema:ARG-PAG	
pbdata:stutter-01__0	pblocalrole:agent	pbschema:ARG0	
pbdata:stutter-01__0	pblocalrole:agent	pbschema:ARG-PAG	
pbdata:stutter-01__1	pblocalrole:stuttered_about	pbschema:ARG1	
pbdata:stutter-01__1	pblocalrole:stuttered_about	pbschema:ARG-PPT	
pbdata:stutter-01__2	pblocalrole:stuttered_to	pbschema:ARG2	
pbdata:stutter-01__2	pblocalrole:stuttered_to	pbschema:ARG-GOL	
pbdata:style-01__0	pblocalrole:stylist	pbschema:ARG0	va:Agent
pbdata:style-01__0	pblocalrole:stylist	pbschema:ARG-PAG	va:Agent
pbdata:style-01__1	pblocalrole:thing_being_styled	pbschema:ARG1	va:Destination
pbdata:style-01__1	pblocalrole:thing_being_styled	pbschema:ARG-VSP	va:Destination
pbdata:style-01__2	pblocalrole:style	pbschema:ARG2	va:Theme
pbdata:style-01__2	pblocalrole:style	pbschema:ARG-PRD	va:Theme
pbdata:stymie-01__0	pblocalrole:blocker	pbschema:ARG0	va:Agent
pbdata:stymie-01__0	pblocalrole:blocker	pbschema:ARG-PAG	va:Agent
pbdata:stymie-01__1	pblocalrole:stymied_entity	pbschema:ARG1	va:Theme
pbdata:stymie-01__1	pblocalrole:stymied_entity	pbschema:ARG-PPT	va:Theme
pbdata:subclone-01__0	pblocalrole:intentional_agent_of_subcloning	pbschema:ARG0	
pbdata:subclone-01__0	pblocalrole:intentional_agent_of_subcloning	pbschema:ARG-PAG	
pbdata:subclone-01__0	pblocalrole:intentional_agent_of_subcloning	pbschema:ARG0	
pbdata:subclone-01__0	pblocalrole:intentional_agent_of_subcloning	pbschema:ARG-PAG	
pbdata:subclone-01__1	pblocalrole:cloned_entity	pbschema:ARG1	
pbdata:subclone-01__1	pblocalrole:cloned_entity	pbschema:ARG-PPT	
pbdata:subclone-01__2	pblocalrole:source	pbschema:ARG2	
pbdata:subclone-01__2	pblocalrole:source	pbschema:ARG-DIR	
pbdata:subclone-01__3	pblocalrole:destination_vector	pbschema:ARG3	
pbdata:subclone-01__3	pblocalrole:destination_vector	pbschema:ARG-GOL	
pbdata:subcontract-01__0	pblocalrole:employer	pbschema:ARG0	va:Agent
pbdata:subcontract-01__0	pblocalrole:employer	pbschema:ARG-PAG	va:Agent
pbdata:subcontract-01__1	pblocalrole:job	pbschema:ARG1	va:Attribute
pbdata:subcontract-01__1	pblocalrole:job	pbschema:ARG-PPT	va:Attribute
pbdata:subcontract-01__2	pblocalrole:subcontractor	pbschema:ARG2	va:Theme
pbdata:subcontract-01__2	pblocalrole:subcontractor	pbschema:ARG-GOL	va:Theme
pbdata:subcutaneous-01__1	pblocalrole:entity_under_the_skin	pbschema:ARG1	
pbdata:subcutaneous-01__1	pblocalrole:entity_under_the_skin	pbschema:ARG-PPT	
pbdata:subcutaneous-01__2	pblocalrole:in_relation_to	pbschema:ARG2	
pbdata:subcutaneous-01__2	pblocalrole:in_relation_to	pbschema:ARG-PPT	
pbdata:subdivide-01__0	pblocalrole:entity_causing_separation	pbschema:ARG0	
pbdata:subdivide-01__0	pblocalrole:entity_causing_separation	pbschema:ARG-PAG	
pbdata:subdivide-01__1	pblocalrole:thing_being_divided	pbschema:ARG1	
pbdata:subdivide-01__1	pblocalrole:thing_being_divided	pbschema:ARG-PPT	
pbdata:subdivide-01__2	pblocalrole:divided_among	pbschema:ARG2	va:Beneficiary
pbdata:subdivide-01__2	pblocalrole:divided_among	pbschema:ARG-GOL	va:Beneficiary
pbdata:subdivide-01__3	pblocalrole:specific_aspect_of_arg1_being_used_as_criteria_for_subdivision	pbschema:ARG3	
