pbframe	pbframelabel	pbrole	fnframe	vaframe
pbrs:except-01	to leave out, exclude	pblr:except-01.entity-causing-exception		va:0598f
pbrs:except-02	to object, legal domain	pblr:except-02.thing-objected-to		
pbrs:except-02	to object, legal domain	pblr:except-02.lawyer		
pbrs:excerpt-01	remove	pblr:excerpt-01.entity-extracted-from		
pbrs:excerpt-01	remove	pblr:excerpt-01.thing-extracted		
pbrs:excerpt-01	remove	pblr:excerpt-01.remover		
pbrs:excessive-02	exceeding a limit	pblr:excessive-02.specific-attribute-of-arg1-that-s-excessive		
pbrs:excessive-02	exceeding a limit	pblr:excessive-02.thing-that-s-excessive		
pbrs:exchange-01	exchange, trade	pblr:exchange-01.other-item-in-exchange		va:0248f
pbrs:exchange-01	exchange, trade	pblr:exchange-01.other-exchanger		va:0248f
pbrs:exchange-01	exchange, trade	pblr:exchange-01.thing-being-traded		va:0248f
pbrs:exchange-01	exchange, trade	pblr:exchange-01.benefactive		va:0248f
pbrs:exchange-01	exchange, trade	pblr:exchange-01.agent		va:0248f
pbrs:excise-01	to remove by or as if by cutting, removing by cutting	pblr:excise-01.remover		va:0239f
pbrs:excise-01	to remove by or as if by cutting, removing by cutting	pblr:excise-01.entity-excised		va:0239f
pbrs:excise-01	to remove by or as if by cutting, removing by cutting	pblr:excise-01.excised-from		va:0239f
pbrs:excite-01	make excited, stimulating	pblr:excite-01.stimulus-of-excitement		va:0435f
pbrs:excite-01	make excited, stimulating	pblr:excite-01.excited-entity		va:0435f
pbrs:excite-01	make excited, stimulating	pblr:excite-01.instrument		va:0435f
pbrs:exclaim-01	mode of speaking	pblr:exclaim-01.hearer		va:0009f
pbrs:exclaim-01	mode of speaking	pblr:exclaim-01.utterance		va:0009f
pbrs:exclaim-01	mode of speaking	pblr:exclaim-01.speaker		va:0009f
pbrs:exclude-01	exclude, except	pblr:exclude-01.patient		va:0029f
pbrs:exclude-01	exclude, except	pblr:exclude-01.excluded-from		va:0029f
pbrs:exclude-01	exclude, except	pblr:exclude-01.agent		va:0029f
pbrs:exclusive-02	snobbish, reserved for a select elite group	pblr:exclusive-02.exclusive-entity		
pbrs:exclusive-02	snobbish, reserved for a select elite group	pblr:exclusive-02.group-excluded		
pbrs:exclusive-02	snobbish, reserved for a select elite group	pblr:exclusive-02.elite-group-reserved-for		
pbrs:excommunicate-01	exclude from the sacraments of a   church by ecclesiastical sentence., permanently banishing from church affiliation	pblr:excommunicate-01.sentencer		
pbrs:excommunicate-01	exclude from the sacraments of a   church by ecclesiastical sentence., permanently banishing from church affiliation	pblr:excommunicate-01.entity-excluded		
pbrs:excommunicate-01	exclude from the sacraments of a   church by ecclesiastical sentence., permanently banishing from church affiliation	pblr:excommunicate-01.excluded-from		
pbrs:excoriate-01	denounce	pblr:excoriate-01.grounds		va:0424f
pbrs:excoriate-01	denounce	pblr:excoriate-01.speaker		va:0424f
pbrs:excoriate-01	denounce	pblr:excoriate-01.subject		va:0424f
pbrs:excoriate-02	damage or remove part of a surface	pblr:excoriate-02.thing-damaged		
pbrs:excoriate-02	damage or remove part of a surface	pblr:excoriate-02.agent		
pbrs:excoriate-02	damage or remove part of a surface	pblr:excoriate-02.instrument		
pbrs:excrete-01	discharge something from the system, removing or ejecting waste product	pblr:excrete-01.agent		
pbrs:excrete-01	discharge something from the system, removing or ejecting waste product	pblr:excrete-01.substance-being-excreted		
